County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ADAMS,42001,SC,349,336,13,5335,5671,7-4-2020,7-3-2020,141
ALLEGHENY,42003,SW,3430,3263,167,60448,63711,7-4-2020,7-3-2020,1563
ARMSTRONG,42005,SW,79,79,0,2275,2354,7-4-2020,7-3-2020,55
BEAVER,42007,SW,720,699,21,6571,7270,7-4-2020,7-3-2020,151
BEDFORD,42009,SC,89,81,8,1624,1705,7-4-2020,7-3-2020,36
BERKS,42011,SE,4571,4414,157,20186,24600,7-4-2020,7-3-2020,153
BLAIR,42013,SC,81,73,8,6012,6085,7-4-2020,7-3-2020,144
BRADFORD,42015,NC,57,51,6,3650,3701,7-4-2020,7-3-2020,32
BUCKS,42017,SE,5844,5302,542,38213,43515,7-4-2020,7-3-2020,302
BUTLER,42019,SW,340,304,36,7271,7575,7-4-2020,7-3-2020,91
CAMBRIA,42021,SW,94,73,21,8258,8331,7-4-2020,7-3-2020,228
CAMERON,42023,NW,4,4,0,277,281,7-4-2020,7-3-2020,8
CARBON,42025,NE,286,282,4,4388,4670,7-4-2020,7-3-2020,32
CENTRE,42027,NC,224,208,16,4683,4891,7-4-2020,7-3-2020,100
CHESTER,42029,SE,3800,3590,210,28232,31822,7-4-2020,7-3-2020,366
CLARION,42031,NW,42,40,2,1048,1088,7-4-2020,7-3-2020,25
CLEARFIELD,42033,NW,74,57,17,2486,2543,7-4-2020,7-3-2020,72
CLINTON,42035,NC,80,70,10,1450,1520,7-4-2020,7-3-2020,15
COLUMBIA,42037,NC,408,385,23,3266,3651,7-4-2020,7-3-2020,60
CRAWFORD,42039,NW,62,49,13,2724,2773,7-4-2020,7-3-2020,37
CUMBERLAND,42041,SC,881,838,43,11935,12773,7-4-2020,7-3-2020,264
DAUPHIN,42043,SC,2174,2115,59,18535,20650,7-4-2020,7-3-2020,233
DELAWARE,42045,SE,7303,7078,225,38597,45675,7-4-2020,7-3-2020,345
ELK,42047,NW,19,16,3,1079,1095,7-4-2020,7-3-2020,42
ERIE,42049,NW,646,554,92,12104,12658,7-4-2020,7-3-2020,104
FAYETTE,42051,SW,135,130,5,5217,5347,7-4-2020,7-3-2020,117
FOREST,42053,NW,7,5,2,273,278,7-4-2020,7-3-2020,5
FRANKLIN,42055,SC,955,926,29,8822,9748,7-4-2020,7-3-2020,63
FULTON,42057,SC,18,16,2,518,534,7-4-2020,7-3-2020,6
GREENE,42059,SW,42,40,2,1334,1374,7-4-2020,7-3-2020,31
HUNTINGDON,42061,SC,254,247,7,1670,1917,7-4-2020,7-3-2020,19
INDIANA,42063,SW,114,106,8,3221,3327,7-4-2020,7-3-2020,135
JEFFERSON,42065,NW,28,25,3,1221,1246,7-4-2020,7-3-2020,50
JUNIATA,42067,SC,113,106,7,912,1018,7-4-2020,7-3-2020,13
LACKAWANNA,42069,NE,1725,1667,58,12248,13915,7-4-2020,7-3-2020,191
LANCASTER,42071,SE,4572,4473,99,31547,36020,7-4-2020,7-3-2020,371
LAWRENCE,42073,NW,114,102,12,2836,2938,7-4-2020,7-3-2020,46
LEBANON,42075,SC,1380,1322,58,8978,10300,7-4-2020,7-3-2020,110
LEHIGH,42077,NE,4303,4252,51,25553,29805,7-4-2020,7-3-2020,282
LUZERNE,42079,NE,2950,2896,54,20480,23376,7-4-2020,7-3-2020,329
LYCOMING,42081,NC,208,199,9,4719,4918,7-4-2020,7-3-2020,252
MCKEAN,42083,NW,20,12,8,1872,1884,7-4-2020,7-3-2020,42
MERCER,42085,NW,150,130,20,4461,4591,7-4-2020,7-3-2020,96
MIFFLIN,42087,SC,64,61,3,2558,2619,7-4-2020,7-3-2020,39
MONROE,42089,NE,1434,1391,43,10824,12215,7-4-2020,7-3-2020,69
MONTGOMERY,42091,SE,8589,8574,15,61773,70347,7-4-2020,7-3-2020,658
MONTOUR,42093,NC,75,67,8,4516,4583,7-4-2020,7-3-2020,53
NORTHAMPTON,42095,NE,3463,3356,107,24593,27949,7-4-2020,7-3-2020,188
NORTHUMBERLAND,42097,NC,323,291,32,3688,3979,7-4-2020,7-3-2020,87
PERRY,42099,SC,86,79,7,1719,1798,7-4-2020,7-3-2020,18
PHILADELPHIA,42101,SE,22018,22010,8,110681,132691,7-4-2020,7-3-2020,1384
PIKE,42103,NE,502,477,25,3146,3623,7-4-2020,7-3-2020,34
POTTER,42105,NC,17,14,3,313,327,7-4-2020,7-3-2020,0
SCHUYLKILL,42107,SE,754,727,27,8365,9092,7-4-2020,7-3-2020,102
SNYDER,42109,NC,68,56,12,958,1014,7-4-2020,7-3-2020,9
SOMERSET,42111,SW,63,53,10,3771,3824,7-4-2020,7-3-2020,53
SULLIVAN,42113,NC,10,5,5,196,201,7-4-2020,7-3-2020,7
SUSQUEHANNA,42115,NE,185,179,6,1822,2001,7-4-2020,7-3-2020,19
TIOGA,42117,NC,26,20,6,1175,1195,7-4-2020,7-3-2020,10
UNION,42119,NC,95,86,9,2452,2538,7-4-2020,7-3-2020,46
VENANGO,42121,NW,23,16,7,1330,1346,7-4-2020,7-3-2020,26
WARREN,42123,NW,7,5,2,739,744,7-4-2020,7-3-2020,8
WASHINGTON,42125,SW,279,266,13,8531,8797,7-4-2020,7-3-2020,242
WAYNE,42127,NE,141,133,8,2543,2676,7-4-2020,7-3-2020,52
WESTMORELAND,42129,SW,774,747,27,18945,19692,7-4-2020,7-3-2020,371
WYOMING,42131,NE,39,37,2,1162,1199,7-4-2020,7-3-2020,21
YORK,42133,SC,1595,1548,47,23119,24667,7-4-2020,7-3-2020,400
