County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ADAMS,42001,SC,352,336,16,5387,5723,7-5-2020,7-4-2020,52
ALLEGHENY,42003,SW,3557,3378,179,61407,64785,7-5-2020,7-4-2020,1074
ARMSTRONG,42005,SW,78,78,0,2291,2369,7-5-2020,7-4-2020,15
BEAVER,42007,SW,737,716,21,6609,7325,7-5-2020,7-4-2020,55
BEDFORD,42009,SC,89,82,7,1668,1750,7-5-2020,7-4-2020,45
BERKS,42011,SE,4578,4422,156,20390,24812,7-5-2020,7-4-2020,212
BLAIR,42013,SC,84,73,11,6122,6195,7-5-2020,7-4-2020,110
BRADFORD,42015,NC,56,50,6,3680,3730,7-5-2020,7-4-2020,29
BUCKS,42017,SE,5883,5341,542,38687,44028,7-5-2020,7-4-2020,513
BUTLER,42019,SW,346,310,36,7328,7638,7-5-2020,7-4-2020,63
CAMBRIA,42021,SW,96,75,21,8325,8400,7-5-2020,7-4-2020,69
CAMERON,42023,NW,4,4,0,277,281,7-5-2020,7-4-2020,0
CARBON,42025,NE,287,283,4,4429,4712,7-5-2020,7-4-2020,42
CENTRE,42027,NC,227,211,16,4789,5000,7-5-2020,7-4-2020,109
CHESTER,42029,SE,3831,3621,210,28741,32362,7-5-2020,7-4-2020,540
CLARION,42031,NW,48,46,2,1068,1114,7-5-2020,7-4-2020,26
CLEARFIELD,42033,NW,74,57,17,2519,2576,7-5-2020,7-4-2020,33
CLINTON,42035,NC,80,70,10,1469,1539,7-5-2020,7-4-2020,19
COLUMBIA,42037,NC,411,388,23,3306,3694,7-5-2020,7-4-2020,43
CRAWFORD,42039,NW,66,53,13,2752,2805,7-5-2020,7-4-2020,32
CUMBERLAND,42041,SC,890,848,42,12071,12919,7-5-2020,7-4-2020,146
DAUPHIN,42043,SC,2194,2135,59,18785,20920,7-5-2020,7-4-2020,270
DELAWARE,42045,SE,7334,7109,225,39113,46222,7-5-2020,7-4-2020,547
ELK,42047,NW,20,17,3,1085,1102,7-5-2020,7-4-2020,7
ERIE,42049,NW,650,559,91,12203,12762,7-5-2020,7-4-2020,104
FAYETTE,42051,SW,140,135,5,5282,5417,7-5-2020,7-4-2020,70
FOREST,42053,NW,7,5,2,275,280,7-5-2020,7-4-2020,2
FRANKLIN,42055,SC,956,927,29,8901,9828,7-5-2020,7-4-2020,80
FULTON,42057,SC,18,16,2,519,535,7-5-2020,7-4-2020,1
GREENE,42059,SW,44,42,2,1357,1399,7-5-2020,7-4-2020,25
HUNTINGDON,42061,SC,254,247,7,1697,1944,7-5-2020,7-4-2020,27
INDIANA,42063,SW,114,106,8,3256,3362,7-5-2020,7-4-2020,35
JEFFERSON,42065,NW,30,27,3,1253,1280,7-5-2020,7-4-2020,34
JUNIATA,42067,SC,113,106,7,920,1026,7-5-2020,7-4-2020,8
LACKAWANNA,42069,NE,1733,1674,59,12394,14068,7-5-2020,7-4-2020,153
LANCASTER,42071,SE,4589,4490,99,31998,36488,7-5-2020,7-4-2020,468
LAWRENCE,42073,NW,119,105,14,2876,2981,7-5-2020,7-4-2020,43
LEBANON,42075,SC,1383,1325,58,9049,10374,7-5-2020,7-4-2020,74
LEHIGH,42077,NE,4311,4260,51,25800,30060,7-5-2020,7-4-2020,255
LUZERNE,42079,NE,2956,2900,56,20709,23609,7-5-2020,7-4-2020,233
LYCOMING,42081,NC,214,202,12,4759,4961,7-5-2020,7-4-2020,43
MCKEAN,42083,NW,20,12,8,1896,1908,7-5-2020,7-4-2020,24
MERCER,42085,NW,154,133,21,4557,4690,7-5-2020,7-4-2020,99
MIFFLIN,42087,SC,64,61,3,2591,2652,7-5-2020,7-4-2020,33
MONROE,42089,NE,1436,1393,43,10907,12300,7-5-2020,7-4-2020,85
MONTGOMERY,42091,SE,8610,8595,15,62476,71071,7-5-2020,7-4-2020,724
MONTOUR,42093,NC,76,67,9,4571,4638,7-5-2020,7-4-2020,55
NORTHAMPTON,42095,NE,3471,3364,107,24802,28166,7-5-2020,7-4-2020,217
NORTHUMBERLAND,42097,NC,327,296,31,3746,4042,7-5-2020,7-4-2020,63
PERRY,42099,SC,86,79,7,1749,1828,7-5-2020,7-4-2020,30
PHILADELPHIA,42101,SE,22016,22008,8,112180,134188,7-5-2020,7-4-2020,1497
