County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ADAMS,42001,SC,344,333,11,5197,5530,7-3-2020,7-2-2020,46
ALLEGHENY,42003,SW,3280,3115,165,59033,62148,7-3-2020,7-2-2020,1781
ARMSTRONG,42005,SW,78,78,0,2221,2299,7-3-2020,7-2-2020,19
BEAVER,42007,SW,706,686,20,6433,7119,7-3-2020,7-2-2020,89
BEDFORD,42009,SC,89,81,8,1588,1669,7-3-2020,7-2-2020,26
BERKS,42011,SE,4569,4412,157,20035,24447,7-3-2020,7-2-2020,218
BLAIR,42013,SC,79,72,7,5869,5941,7-3-2020,7-2-2020,70
BRADFORD,42015,NC,57,51,6,3618,3669,7-3-2020,7-2-2020,22
BUCKS,42017,SE,5829,5289,540,37924,43213,7-3-2020,7-2-2020,639
BUTLER,42019,SW,330,295,35,7189,7484,7-3-2020,7-2-2020,153
CAMBRIA,42021,SW,90,68,22,8035,8103,7-3-2020,7-2-2020,139
CAMERON,42023,NW,3,3,0,270,273,7-3-2020,7-2-2020,3
CARBON,42025,NE,284,280,4,4358,4638,7-3-2020,7-2-2020,57
CENTRE,42027,NC,218,202,16,4589,4791,7-3-2020,7-2-2020,87
CHESTER,42029,SE,3781,3571,210,27885,31456,7-3-2020,7-2-2020,678
CLARION,42031,NW,40,39,1,1024,1063,7-3-2020,7-2-2020,8
CLEARFIELD,42033,NW,74,56,18,2415,2471,7-3-2020,7-2-2020,36
CLINTON,42035,NC,80,70,10,1435,1505,7-3-2020,7-2-2020,27
COLUMBIA,42037,NC,407,384,23,3207,3591,7-3-2020,7-2-2020,45
CRAWFORD,42039,NW,62,49,13,2687,2736,7-3-2020,7-2-2020,25
CUMBERLAND,42041,SC,871,829,42,11680,12509,7-3-2020,7-2-2020,171
DAUPHIN,42043,SC,2161,2102,59,18315,20417,7-3-2020,7-2-2020,269
DELAWARE,42045,SE,7288,7063,225,38267,45330,7-3-2020,7-2-2020,649
ELK,42047,NW,16,13,3,1040,1053,7-3-2020,7-2-2020,28
ERIE,42049,NW,642,550,92,12004,12554,7-3-2020,7-2-2020,148
FAYETTE,42051,SW,132,127,5,5103,5230,7-3-2020,7-2-2020,63
FOREST,42053,NW,7,5,2,268,273,7-3-2020,7-2-2020,13
FRANKLIN,42055,SC,954,925,29,8760,9685,7-3-2020,7-2-2020,93
FULTON,42057,SC,18,16,2,512,528,7-3-2020,7-2-2020,5
GREENE,42059,SW,41,39,2,1304,1343,7-3-2020,7-2-2020,15
HUNTINGDON,42061,SC,254,247,7,1651,1898,7-3-2020,7-2-2020,24
INDIANA,42063,SW,114,105,9,3087,3192,7-3-2020,7-2-2020,38
JEFFERSON,42065,NW,25,22,3,1174,1196,7-3-2020,7-2-2020,35
JUNIATA,42067,SC,113,106,7,899,1005,7-3-2020,7-2-2020,21
LACKAWANNA,42069,NE,1719,1661,58,12063,13724,7-3-2020,7-2-2020,251
LANCASTER,42071,SE,4530,4435,95,31214,35649,7-3-2020,7-2-2020,398
LAWRENCE,42073,NW,110,98,12,2794,2892,7-3-2020,7-2-2020,27
LEBANON,42075,SC,1375,1317,58,8873,10190,7-3-2020,7-2-2020,164
LEHIGH,42077,NE,4292,4242,50,25281,29523,7-3-2020,7-2-2020,562
LUZERNE,42079,NE,2939,2887,52,20160,23047,7-3-2020,7-2-2020,303
LYCOMING,42081,NC,196,190,6,4476,4666,7-3-2020,7-2-2020,265
MCKEAN,42083,NW,20,12,8,1830,1842,7-3-2020,7-2-2020,222
MERCER,42085,NW,143,125,18,4370,4495,7-3-2020,7-2-2020,76
MIFFLIN,42087,SC,63,60,3,2520,2580,7-3-2020,7-2-2020,34
MONROE,42089,NE,1430,1387,43,10759,12146,7-3-2020,7-2-2020,131
MONTGOMERY,42091,SE,8562,8547,15,61142,69689,7-3-2020,7-2-2020,1536
MONTOUR,42093,NC,75,67,8,4463,4530,7-3-2020,7-2-2020,38
NORTHAMPTON,42095,NE,3458,3351,107,24410,27761,7-3-2020,7-2-2020,350
NORTHUMBERLAND,42097,NC,320,289,31,3603,3892,7-3-2020,7-2-2020,56
PERRY,42099,SC,86,79,7,1701,1780,7-3-2020,7-2-2020,66
PHILADELPHIA,42101,SE,21885,21877,8,109430,131307,7-3-2020,7-2-2020,2092
PIKE,42103,NE,500,475,25,3114,3589,7-3-2020,7-2-2020,34
POTTER,42105,NC,17,14,3,313,327,7-3-2020,7-2-2020,11
SCHUYLKILL,42107,SE,753,726,27,8264,8990,7-3-2020,7-2-2020,205
SNYDER,42109,NC,67,55,12,950,1005,7-3-2020,7-2-2020,14
SOMERSET,42111,SW,63,53,10,3718,3771,7-3-2020,7-2-2020,55
SULLIVAN,42113,NC,6,5,1,189,194,7-3-2020,7-2-2020,3
SUSQUEHANNA,42115,NE,185,179,6,1803,1982,7-3-2020,7-2-2020,47
TIOGA,42117,NC,26,20,6,1165,1185,7-3-2020,7-2-2020,8
UNION,42119,NC,94,85,9,2407,2492,7-3-2020,7-2-2020,19
