County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ADAMS,42001,SC,342,331,11,5153,5484,7-2-2020,7-1-2020,35
ALLEGHENY,42003,SW,3103,2949,154,57418,60367,7-2-2020,7-1-2020,2040
ARMSTRONG,42005,SW,77,77,0,2203,2280,7-2-2020,7-1-2020,38
BEAVER,42007,SW,688,668,20,6362,7030,7-2-2020,7-1-2020,112
BEDFORD,42009,SC,88,80,8,1563,1643,7-2-2020,7-1-2020,37
BERKS,42011,SE,4563,4406,157,19823,24229,7-2-2020,7-1-2020,233
BLAIR,42013,SC,74,67,7,5804,5871,7-2-2020,7-1-2020,110
BRADFORD,42015,NC,58,52,6,3595,3647,7-2-2020,7-1-2020,25
BUCKS,42017,SE,5801,5262,539,37312,42574,7-2-2020,7-1-2020,771
BUTLER,42019,SW,319,285,34,7046,7331,7-2-2020,7-1-2020,189
CAMBRIA,42021,SW,85,65,20,7899,7964,7-2-2020,7-1-2020,111
CAMERON,42023,NW,3,3,0,267,270,7-2-2020,7-1-2020,3
CARBON,42025,NE,283,279,4,4302,4581,7-2-2020,7-1-2020,74
CENTRE,42027,NC,211,197,14,4507,4704,7-2-2020,7-1-2020,191
CHESTER,42029,SE,3751,3541,210,27237,30778,7-2-2020,7-1-2020,464
CLARION,42031,NW,36,36,0,1019,1055,7-2-2020,7-1-2020,21
CLEARFIELD,42033,NW,75,57,18,2378,2435,7-2-2020,7-1-2020,44
CLINTON,42035,NC,80,70,10,1408,1478,7-2-2020,7-1-2020,26
COLUMBIA,42037,NC,405,382,23,3164,3546,7-2-2020,7-1-2020,60
CRAWFORD,42039,NW,59,46,13,2665,2711,7-2-2020,7-1-2020,153
CUMBERLAND,42041,SC,866,824,42,11514,12338,7-2-2020,7-1-2020,125
DAUPHIN,42043,SC,2120,2062,58,18086,20148,7-2-2020,7-1-2020,341
DELAWARE,42045,SE,7253,7028,225,37653,44681,7-2-2020,7-1-2020,560
ELK,42047,NW,15,12,3,1013,1025,7-2-2020,7-1-2020,40
ERIE,42049,NW,626,541,85,11865,12406,7-2-2020,7-1-2020,195
FAYETTE,42051,SW,127,122,5,5045,5167,7-2-2020,7-1-2020,135
FOREST,42053,NW,7,5,2,255,260,7-2-2020,7-1-2020,9
FRANKLIN,42055,SC,950,921,29,8671,9592,7-2-2020,7-1-2020,67
FULTON,42057,SC,18,16,2,507,523,7-2-2020,7-1-2020,9
GREENE,42059,SW,41,39,2,1289,1328,7-2-2020,7-1-2020,38
HUNTINGDON,42061,SC,252,245,7,1629,1874,7-2-2020,7-1-2020,20
INDIANA,42063,SW,112,102,10,3052,3154,7-2-2020,7-1-2020,86
JEFFERSON,42065,NW,24,21,3,1140,1161,7-2-2020,7-1-2020,21
JUNIATA,42067,SC,113,106,7,878,984,7-2-2020,7-1-2020,26
LACKAWANNA,42069,NE,1714,1656,58,11817,13473,7-2-2020,7-1-2020,271
LANCASTER,42071,SE,4504,4411,93,30840,35251,7-2-2020,7-1-2020,498
LAWRENCE,42073,NW,107,95,12,2770,2865,7-2-2020,7-1-2020,81
LEBANON,42075,SC,1361,1303,58,8723,10026,7-2-2020,7-1-2020,111
LEHIGH,42077,NE,4280,4229,51,24732,28961,7-2-2020,7-1-2020,367
LUZERNE,42079,NE,2927,2876,51,19868,22744,7-2-2020,7-1-2020,297
LYCOMING,42081,NC,193,188,5,4213,4401,7-2-2020,7-1-2020,77
MCKEAN,42083,NW,18,10,8,1610,1620,7-2-2020,7-1-2020,96
MERCER,42085,NW,142,124,18,4295,4419,7-2-2020,7-1-2020,81
MIFFLIN,42087,SC,63,60,3,2486,2546,7-2-2020,7-1-2020,33
MONROE,42089,NE,1428,1385,43,10630,12015,7-2-2020,7-1-2020,179
MONTGOMERY,42091,SE,8514,8499,15,59654,68153,7-2-2020,7-1-2020,913
MONTOUR,42093,NC,75,67,8,4425,4492,7-2-2020,7-1-2020,47
NORTHAMPTON,42095,NE,3441,3338,103,24073,27411,7-2-2020,7-1-2020,365
NORTHUMBERLAND,42097,NC,316,287,29,3549,3836,7-2-2020,7-1-2020,54
PERRY,42099,SC,86,79,7,1635,1714,7-2-2020,7-1-2020,42
PHILADELPHIA,42101,SE,21862,21854,8,107361,129215,7-2-2020,7-1-2020,2009
PIKE,42103,NE,498,473,25,3082,3555,7-2-2020,7-1-2020,20
POTTER,42105,NC,16,12,4,304,316,7-2-2020,7-1-2020,4
SCHUYLKILL,42107,SE,750,723,27,8062,8785,7-2-2020,7-1-2020,149
SNYDER,42109,NC,67,55,12,936,991,7-2-2020,7-1-2020,27
SOMERSET,42111,SW,62,52,10,3664,3716,7-2-2020,7-1-2020,41
SULLIVAN,42113,NC,6,5,1,186,191,7-2-2020,7-1-2020,5
SUSQUEHANNA,42115,NE,183,177,6,1758,1935,7-2-2020,7-1-2020,38
TIOGA,42117,NC,25,19,6,1158,1177,7-2-2020,7-1-2020,17
UNION,42119,NC,93,85,8,2388,2473,7-2-2020,7-1-2020,47
VENANGO,42121,NW,23,16,7,1260,1276,7-2-2020,7-1-2020,61
WARREN,42123,NW,7,5,2,719,724,7-2-2020,7-1-2020,24
WASHINGTON,42125,SW,244,231,13,8128,8359,7-2-2020,7-1-2020,319
WAYNE,42127,NE,140,131,9,2455,2586,7-2-2020,7-1-2020,27
WESTMORELAND,42129,SW,711,685,26,18115,18800,7-2-2020,7-1-2020,454
WYOMING,42131,NE,38,36,2,1118,1154,7-2-2020,7-1-2020,20
YORK,42133,SC,1555,1510,45,22463,23973,7-2-2020,7-1-2020,276
